uesi_id,city,year,pm25_mean,who_2021,who_2005
AFG_N21716195,"Kabul, AFG",1998,9.38,Within WHO Interim Target 4 of 10µg/m^3,Within Recommended Value of 10µg/m^3
AFG_N21716195,"Kabul, AFG",1999,10.47,Within WHO Interim Target 3 of 15µg/m^3,Within WHO Interim Target 3 of 15µg/m^3
AFG_N21716195,"Kabul, AFG",2000,29.66,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2001,33.11,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2002,31.86,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2003,25.605,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2004,24.14,Within WHO Interim Target 2 of 25µg/m^3,Within WHO Interim Target 2 of 25µg/m^3
AFG_N21716195,"Kabul, AFG",2005,22.77,Within WHO Interim Target 2 of 25µg/m^3,Within WHO Interim Target 2 of 25µg/m^3
AFG_N21716195,"Kabul, AFG",2006,24.045,Within WHO Interim Target 2 of 25µg/m^3,Within WHO Interim Target 2 of 25µg/m^3
AFG_N21716195,"Kabul, AFG",2007,23.655,Within WHO Interim Target 2 of 25µg/m^3,Within WHO Interim Target 2 of 25µg/m^3
AFG_N21716195,"Kabul, AFG",2008,26.595,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2009,31.634999999999998,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2010,30.76,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2011,37.28,Exceeding All Recommended Guidelines & Targets,Exceeding All Recommended Guidelines & Targets
AFG_N21716195,"Kabul, AFG",2012,32.91,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2013,35.06,Exceeding All Recommended Guidelines & Targets,Exceeding All Recommended Guidelines & Targets
AFG_N21716195,"Kabul, AFG",2014,32.845,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2015,35.685,Exceeding All Recommended Guidelines & Targets,Exceeding All Recommended Guidelines & Targets
AFG_N21716195,"Kabul, AFG",2016,35.285,Exceeding All Recommended Guidelines & Targets,Exceeding All Recommended Guidelines & Targets
AFG_N21716195,"Kabul, AFG",2017,32.22,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
AFG_N21716195,"Kabul, AFG",2018,44.68333333333333,Exceeding All Recommended Guidelines & Targets,Exceeding All Recommended Guidelines & Targets
AFG_N21716195,"Kabul, AFG",2019,55.890405288310376,Exceeding All Recommended Guidelines & Targets,Exceeding All Recommended Guidelines & Targets
AFG_N21716195,"Kabul, AFG",2020,31.515,Within WHO Interim Target 1 of 35µg/m^3,Within WHO Interim Target 1 of 35µg/m^3
